,variable,r_sqr,intercept,slope,p_value
57,zipcode_98074,0.00936633710287349,0.5744619061064788,0.11184426243982748,9.665735858143957e-39
58,zipcode_98075,0.012568933308563901,0.5747263795354307,0.17064163730875093,1.8156362237372652e-51
59,zipcode_98077,0.00022794428700523284,0.5764221701853737,0.04880160309553757,0.04274641257079647
60,zipcode_98092,0.010386348883957508,0.5784325162316928,-0.13501452691844887,8.597711830552879e-43
61,zipcode_98102,0.006436517843762202,0.5756299771455807,0.17359421457102767,4.1132627546337225e-27
62,zipcode_98103,0.00903140527573254,0.5738284525719962,0.0837888578426331,2.065360202641106e-37
63,zipcode_98105,0.012757216397807025,0.5746936781800747,0.17016172737135363,3.2365600256288087e-52
64,zipcode_98106,0.010180075019672996,0.578665038458031,-0.11835380595345436,5.671915487989998e-42
65,zipcode_98107,0.0039235742270191665,0.5753609980223802,0.08234412123599193,3.9600569075514585e-17
66,zipcode_98108,0.002632149371796677,0.5773418826114384,-0.08019487942556042,5.603611299166141e-12
67,zipcode_98109,0.007464559879579502,0.5755396495897491,0.18310965079253233,3.420593026301159e-31
68,zipcode_98112,0.021840387104279824,0.5740334017110977,0.21463703009604823,1.7696015430443133e-88
69,zipcode_98115,0.013255112685384374,0.5733086706656548,0.1030618921623304,3.3814750191491347e-54
70,zipcode_98116,0.006747703145597028,0.5748162683752319,0.09709581452173043,2.3938772857143625e-28
71,zipcode_98117,0.008516186788020574,0.5740040901328044,0.08429151045597301,2.2921557553384573e-35
72,zipcode_98118,0.0026585643951272386,0.5778774929835643,-0.04951260571370278,4.393490659835239e-12
73,zipcode_98119,0.011151717727167387,0.5749577104940867,0.17332957822928718,7.824571307739502e-46
74,zipcode_98122,0.005760456647465717,0.5750652437254933,0.09667616714844877,1.9856050210391216e-24
75,zipcode_98125,9.959519574054276e-06,0.57646296419219,0.0033889857553582904,0.6719264926743215
76,zipcode_98126,0.0005033793840597545,0.5770291158123413,-0.025304929793147076,0.0026020820637030974
77,zipcode_98133,0.0023438191734478364,0.57779159624625,-0.04662900093323421,7.998353360229164e-11
78,zipcode_98136,0.0016871341175316301,0.5757700652257085,0.054309959679126794,3.5000677695396424e-08
79,zipcode_98144,0.0014762994832671072,0.5757277465041315,0.04520786413908822,2.495216521354226e-07
80,zipcode_98146,0.009274465128304543,0.5783917266479541,-0.1233358454525085,2.2387503207260178e-38
81,zipcode_98148,0.0031792143190794153,0.5770224958166448,-0.15932359299691243,3.6586206289269355e-14
82,zipcode_98155,0.0018735950901026532,0.5775595080284028,-0.045518332249193,6.19552413856939e-09
83,zipcode_98166,0.001606270427231049,0.5772064290576614,-0.058905459604177014,7.427932835813527e-08
84,zipcode_98168,0.02586674769911601,0.5794499680910231,-0.2186833364531025,1.2050715067466065e-104
85,zipcode_98177,0.0024250965140589775,0.5757020585802388,0.07152189261937529,3.7783770851963043e-11
86,zipcode_98178,0.011564805386311772,0.578541226617007,-0.1421915671660901,1.785072922540766e-47
87,zipcode_98188,0.0076756522613676825,0.5776686264846582,-0.1658557485896877,4.969766617707553e-32
88,zipcode_98198,0.015158518193238213,0.5788408945955774,-0.16216397664948545,8.90128895353014e-62
89,zipcode_98199,0.016019473205514445,0.5740160601986758,0.1570453782021673,3.291313436387492e-65
90,bedrooms_2,0.022357109076795112,0.5860205967439571,-0.06678170188298606,1.5012868603247346e-90
91,bedrooms_3,0.020386722440306038,0.5980086517969092,-0.04455067998799264,1.175103962978647e-82
92,bedrooms_4,0.04679785595772468,0.5542555662393092,0.0733355941159256,1.0233256720857466e-189
93,bedrooms_5,0.017981715573925805,0.5711243279208308,0.08617957944880694,4.8548025422600395e-73
94,floors_1_5,0.00706828031972262,0.572417979722188,0.04584001345010359,1.2788155003454694e-29
95,floors_2_0,0.04761789316315912,0.5514333113302514,0.0712118450416543,4.370388889033682e-193
96,floors_2_5,0.005085555226546301,0.5757178317087553,0.1519124498169002,9.507944267580601e-22
97,floors_3_0,0.002880783075474236,0.575023191929279,0.04780116614102345,5.683206147055468e-13
98,floors_3_5,4.9419018207985665e-05,0.5765159634647257,0.06005942923122046,0.34548154051059654
